stationname,Time,Rainfall_Duration_last_hour_minutes,Amount_Rainfall_last_Hour_in_mm,Wind_Direction,Wind_Speed_kmh,Air_pressure_in_hPa,Total_cloud_cover_percentage,Temperature
AMSTERDAM/SCHIPHOL AP,"12/02/2024, 04:10:00 CET",1.4,0.05,4.9,20.2,1012.3,100.0,-
ROTTERDAM THE HAGUE AP,"12/02/2024, 04:10:00 CET",0.0,0.0,8.6,21.82,1012.54,100.0,9.7
EINDHOVEN AP,"12/02/2024, 04:10:00 CET",0.0,0.0,10.2,16.85,1014.44,100.0,9.6
MAASTRICHT AACHEN AP,"12/02/2024, 04:10:00 CET",0.0,0.0,6.7,15.95,1015.76,100.0,8.8
